X,Y,field_1,number,address,Tiger,X4,X5,long,lat,X7,X8,optional,Key,join_UACE10,join_GEOID10,join_NAME10,join_NAMELSAD10,join_LSAD10,join_MTFCC10,join_UATYP10,join_FUNCSTAT10,join_ALAND10,join_AWATER10,join_INTPTLAT10,join_INTPTLON10,join_irwinid,join_mapmethod,join_unitIDProt,join_unitIDOwn,join_incidentID,join_fireName,join_perDatTime,join_comments,join_agency,join_active,join_latest,join_compParID,join_fireYear,join_dateCrnt,join_inciwebId,join_firecode,join_compfirecd,join_fireNum,join_ComplexNm,join_state,join_mergeid,join_inComplex,join_GISACRES,distance
-122.828064,38.40017,17,12,"7450 Bodega Ave, Sebastopol, CA, 95472",Match,Exact,"7450 BODEGA AVE, SEBASTOPOL, CA, 95472",-122.828064,38.40017,67465121,R,TRUE,SBP03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.101680714
-122.801047,38.386102,18,3,"1764 Cooper Rd, Sebastopol, CA, 95472",No_Match,NA,NA,-122.801047,38.386102,NA,NA,TRUE,SBP04,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.095888516
-122.83709,38.402252,23,10,"7905 Valentine Ave, Sebastopol, CA, 95472",Match,Exact,"7905 VALENTINE AVE, SEBASTOPOL, CA, 95472",-122.83709,38.402252,67464765,L,TRUE,SBP06,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.107143851
-122.90854,38.443447,27,4,"4250 Bones Rd, Sebastopol, CA, 95472",Match,Exact,"4250 BONES RD, SEBASTOPOL, CA, 95472",-122.90854,38.443447,605055914,L,TRUE,SBP07,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.15512798
-122.795586,38.424272,3,22,"4993 Occidental Rd, Santa Rosa, CA, 95401",No_Match,NA,NA,-122.795586,38.424272,NA,NA,TRUE,SRO01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.061649915
-122.7204,38.460484,5,18,"301 Steele Ln, Santa Rosa, CA, 95403",Match,Exact,"301 STEELE LN, SANTA ROSA, CA, 95403",-122.7204,38.460484,67485380,R,TRUE,SRO02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.01041319
-122.77546,38.454853,6,24,"1422 Forestview Dr, Santa Rosa, CA, 95401",Match,Exact,"1422 FORESTVIEW DR, SANTA ROSA, CA, 95401",-122.77546,38.454853,67517275,R,TRUE,SRO03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.026253845
-122.625114,38.46394,10,26,"885 Wildwood Trail, Santa Rosa, CA, 95409",Match,Exact,"885 WILDWOOD TRL, SANTA ROSA, CA, 95409",-122.625114,38.46394,67508691,L,TRUE,SRO04,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.033314223
-122.76956,38.448532,13,14,"1225 Fulton Rd, Santa Rosa, CA, 95401",Match,Exact,"1225 FULTON RD, SANTA ROSA, CA, 95401",-122.76956,38.448532,67497408,L,TRUE,SRO06,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.026288617
-122.77461,38.511105,15,11,"651 Airport Blvd, Santa Rosa, CA, 95407",Match,Non_Exact,"651 AIRPORT BLVD, SANTA ROSA, CA, 95403",-122.77461,38.511105,67530102,R,TRUE,SRO07,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.025480767
-122.7042,38.379387,16,29,"245 Mountain View Ave, Santa Rosa, CA,",Match,Exact,"245 MOUNTAIN VIEW AVE, SANTA ROSA, CA, 95407",-122.7042,38.379387,67471958,L,TRUE,SRO08,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.068558784
-122.67097,38.43874,24,7,"1717 Yulupa Ave, Santa Rosa, CA, 95405",Match,Exact,"1717 YULUPA AVE, SANTA ROSA, CA, 95405",-122.67097,38.43874,67474624,R,TRUE,SRO09,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.027941124
-122.72789,38.420914,25,6,"1632 West Ave, Santa Rosa, CA, 95407",Match,Exact,"1632 WEST AVE, SANTA ROSA, CA, 95407",-122.72789,38.420914,617173845,L,TRUE,SRO10,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.050119234
-122.80717,38.552208,11,13,"901 Adele Dr, Windsor, CA, 95492",Match,Exact,"901 ADELE DR, WINDSOR, CA, 95492",-122.80717,38.552208,67519705,L,TRUE,WND01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.071883962
