site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag,time
50436,3490,10/1/2017,0,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 0:00
50437,3490,10/1/2017,1,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 1:00
50438,3490,10/1/2017,2,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 2:00
50439,3490,10/1/2017,3,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 3:00
50440,3490,10/1/2017,4,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 4:00
50441,3490,10/1/2017,5,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 5:00
50442,3490,10/1/2017,6,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 6:00
50443,3490,10/1/2017,7,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 7:00
50444,3490,10/1/2017,8,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 8:00
50445,3490,10/1/2017,9,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 9:00
50446,3490,10/1/2017,10,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 10:00
50447,3490,10/1/2017,11,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 11:00
50448,3490,10/1/2017,12,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 12:00
50449,3490,10/1/2017,13,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 13:00
50450,3490,10/1/2017,14,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 14:00
50451,3490,10/1/2017,15,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 15:00
50452,3490,10/1/2017,16,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 16:00
50453,3490,10/1/2017,17,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 17:00
50454,3490,10/1/2017,18,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 18:00
50455,3490,10/1/2017,19,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 19:00
50456,3490,10/1/2017,20,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 20:00
50457,3490,10/1/2017,21,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 21:00
50458,3490,10/1/2017,22,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 22:00
50459,3490,10/1/2017,23,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 23:00
50460,3490,10/2/2017,0,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 0:00
50461,3490,10/2/2017,1,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 1:00
50462,3490,10/2/2017,2,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 2:00
50463,3490,10/2/2017,3,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 3:00
50464,3490,10/2/2017,4,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 4:00
50465,3490,10/2/2017,5,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 5:00
50466,3490,10/2/2017,6,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 6:00
50467,3490,10/2/2017,7,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 7:00
50468,3490,10/2/2017,8,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 8:00
50469,3490,10/2/2017,10,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 10:00
50470,3490,10/2/2017,11,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 11:00
50471,3490,10/2/2017,12,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 12:00
50472,3490,10/2/2017,13,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 13:00
50473,3490,10/2/2017,14,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 14:00
50474,3490,10/2/2017,15,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 15:00
50475,3490,10/2/2017,16,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 16:00
50476,3490,10/2/2017,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 17:00
50477,3490,10/2/2017,18,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 18:00
50478,3490,10/2/2017,19,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 19:00
50479,3490,10/2/2017,20,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 20:00
50480,3490,10/2/2017,21,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 21:00
50481,3490,10/2/2017,22,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 22:00
50482,3490,10/2/2017,23,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 23:00
50483,3490,10/3/2017,0,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 0:00
50484,3490,10/3/2017,1,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 1:00
50485,3490,10/3/2017,2,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 2:00
50486,3490,10/3/2017,3,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 3:00
50487,3490,10/3/2017,4,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 4:00
50488,3490,10/3/2017,5,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 5:00
50489,3490,10/3/2017,6,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 6:00
50490,3490,10/3/2017,7,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 7:00
50491,3490,10/3/2017,8,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 8:00
50492,3490,10/3/2017,9,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 9:00
50493,3490,10/3/2017,10,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 10:00
50494,3490,10/3/2017,11,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 11:00
50495,3490,10/3/2017,12,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 12:00
50496,3490,10/3/2017,13,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 13:00
50497,3490,10/3/2017,14,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 14:00
50498,3490,10/3/2017,15,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 15:00
50499,3490,10/3/2017,16,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 16:00
50500,3490,10/3/2017,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 17:00
50501,3490,10/3/2017,18,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 18:00
50502,3490,10/3/2017,19,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 19:00
50503,3490,10/3/2017,20,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 20:00
50504,3490,10/3/2017,21,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 21:00
50505,3490,10/3/2017,22,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 22:00
50506,3490,10/3/2017,23,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 23:00
50507,3490,10/4/2017,0,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 0:00
50508,3490,10/4/2017,1,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 1:00
50509,3490,10/4/2017,2,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 2:00
50510,3490,10/4/2017,3,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 3:00
50511,3490,10/4/2017,4,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 4:00
50512,3490,10/4/2017,5,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 5:00
50513,3490,10/4/2017,6,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 6:00
50514,3490,10/4/2017,7,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 7:00
50515,3490,10/4/2017,8,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 8:00
50516,3490,10/4/2017,9,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 9:00
50517,3490,10/4/2017,10,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 10:00
50518,3490,10/4/2017,11,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 11:00
50519,3490,10/4/2017,12,-1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 12:00
50520,3490,10/4/2017,13,-1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 13:00
50521,3490,10/4/2017,14,-1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 14:00
50522,3490,10/4/2017,15,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 15:00
50523,3490,10/4/2017,16,-1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 16:00
50524,3490,10/4/2017,17,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 17:00
50525,3490,10/4/2017,18,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 18:00
50526,3490,10/4/2017,19,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 19:00
50527,3490,10/4/2017,20,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 20:00
50528,3490,10/4/2017,21,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 21:00
50529,3490,10/4/2017,22,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 22:00
50530,3490,10/4/2017,23,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/4/2017 23:00
50531,3490,10/5/2017,0,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 0:00
50532,3490,10/5/2017,1,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 1:00
50533,3490,10/5/2017,2,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 2:00
50534,3490,10/5/2017,3,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 3:00
50535,3490,10/5/2017,4,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 4:00
50536,3490,10/5/2017,5,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 5:00
50537,3490,10/5/2017,6,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 6:00
50538,3490,10/5/2017,7,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 7:00
50539,3490,10/5/2017,8,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 8:00
50540,3490,10/5/2017,9,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 9:00
50541,3490,10/5/2017,10,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 10:00
50542,3490,10/5/2017,11,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 11:00
50543,3490,10/5/2017,12,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 12:00
50544,3490,10/5/2017,13,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 13:00
50545,3490,10/5/2017,14,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 14:00
50546,3490,10/5/2017,15,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 15:00
50547,3490,10/5/2017,16,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 16:00
50548,3490,10/5/2017,17,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 17:00
50549,3490,10/5/2017,18,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 18:00
50550,3490,10/5/2017,19,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 19:00
50551,3490,10/5/2017,20,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 20:00
50552,3490,10/5/2017,21,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 21:00
50553,3490,10/5/2017,22,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 22:00
50554,3490,10/5/2017,23,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/5/2017 23:00
50555,3490,10/6/2017,0,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 0:00
50556,3490,10/6/2017,1,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 1:00
50557,3490,10/6/2017,2,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 2:00
50558,3490,10/6/2017,3,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 3:00
50559,3490,10/6/2017,4,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 4:00
50560,3490,10/6/2017,5,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 5:00
50561,3490,10/6/2017,6,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 6:00
50562,3490,10/6/2017,7,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 7:00
50563,3490,10/6/2017,8,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 8:00
50564,3490,10/6/2017,9,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 9:00
50565,3490,10/6/2017,10,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 10:00
50566,3490,10/6/2017,11,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 11:00
50567,3490,10/6/2017,12,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 12:00
50568,3490,10/6/2017,13,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 13:00
50569,3490,10/6/2017,14,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 14:00
50570,3490,10/6/2017,15,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 15:00
50571,3490,10/6/2017,16,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 16:00
50572,3490,10/6/2017,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 17:00
50573,3490,10/6/2017,18,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/6/2017 18:00
