site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2125,-,10/2/2017,15,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,16,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,18,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,19,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,20,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,21,19,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,23,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,0,-1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,1,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,2,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,3,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,4,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,5,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,6,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,7,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,9,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,10,32,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,11,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,12,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,13,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,14,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,15,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,16,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,17,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,18,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,19,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,20,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,21,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,22,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/3/2017,23,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,0,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,2,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,3,-4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,7,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,8,21,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,9,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,10,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,11,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,12,32,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,13,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,14,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,15,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,16,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,17,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,18,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,19,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,20,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,21,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,22,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/4/2017,23,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,0,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,1,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,2,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,3,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,4,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,6,-5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,7,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,8,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,9,23,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,10,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,11,19,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,12,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,13,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,14,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,15,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,16,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,17,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,18,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,19,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,20,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,21,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,22,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/5/2017,23,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
